"lwsa3" "elet6" "itsa4" "rent3" "brfs3"
"2025-04-01" 2.71000003814697 44.3800010681152 9.4399995803833 35.0999984741211 20.1399993896484
"2025-04-02" 2.71000003814697 44.3199996948242 9.44999980926514 36.4500007629395 19.7999992370605
"2025-04-03" 2.73000001907349 44.7999992370605 9.61999988555908 37.2400016784668 19.6399993896484
"2025-04-04" 2.57999992370605 44 9.34000015258789 36.0999984741211 19.25
"2025-04-07" 2.61999988555908 43.8199996948242 9.39999961853027 35.810001373291 19.2000007629395
"2025-04-08" 2.69000005722046 43.8600006103516 9.38000011444092 35.7000007629395 19.0599994659424
"2025-04-09" 2.83999991416931 44.6300010681152 9.60000038146973 36.9700012207031 20.5599994659424
"2025-04-10" 2.97000002861023 45.1300010681152 9.55000019073486 37.4000015258789 20.3500003814697
"2025-04-11" 2.94000005722046 44.8400001525879 9.64999961853027 38.5699996948242 20.5400009155273
"2025-04-14" 2.99000000953674 45.560001373291 9.77999973297119 39.2599983215332 20.4099998474121
"2025-04-15" 3.01999998092651 45.2599983215332 9.90999984741211 39.4000015258789 20.6700000762939
"2025-04-16" 3.02999997138977 44.3600006103516 9.89000034332275 38.75 20.6800003051758
"2025-04-17" 3.5 45.5999984741211 9.94999980926514 40.25 21.1499996185303
"2025-04-22" 3.51999998092651 45.3800010681152 10.1700000762939 39.1500015258789 21.7800006866455
"2025-04-23" 3.71000003814697 46.0499992370605 10.3400001525879 40.3600006103516 21.4899997711182
"2025-04-24" 3.78999996185303 47.3899993896484 10.5600004196167 41.5999984741211 22.0100002288818
"2025-04-25" 3.89000010490417 47.189998626709 10.5699996948242 42.810001373291 22.8999996185303
"2025-04-28" 3.75999999046326 47.4099998474121 10.6300001144409 43.060001373291 22.7000007629395
"2025-04-29" 3.67000007629395 47.6500015258789 10.6300001144409 43.1800003051758 22.75
"2025-04-30" 3.60999989509583 48.2299995422363 10.6999998092651 42.9599990844727 22.7000007629395
"2025-05-02" 3.59999990463257 47.9700012207031 10.5299997329712 43.0999984741211 22.4599990844727
"2025-05-05" 3.50999999046326 47.189998626709 10.4799995422363 43.060001373291 21.4400005340576
"2025-05-06" 3.5 47.25 10.4499998092651 42 20.3500003814697
"2025-05-07" 3.45000004768372 46.9700012207031 10.539999961853 42.0900001525879 20.2600002288818
"2025-05-08" 3.5699999332428 47.5800018310547 10.6000003814697 43.9000015258789 20.3899993896484
"2025-05-09" 3.52999997138977 47.9099998474121 11.0500001907349 41 19.2000007629395
"2025-05-12" 3.33999991416931 47.5200004577637 10.8000001907349 41.5 19.7099990844727
"2025-05-13" 3.59999990463257 47.810001373291 10.9700002670288 41.7400016784668 20.2000007629395
"2025-05-14" 3.60999989509583 47.6300010681152 11 39.7099990844727 19.6800003051758
"2025-05-15" 3.66000008583069 46.1399993896484 11.1400003433228 40.75 20.6200008392334
"2025-05-16" 3.69000005722046 46.3499984741211 11.2200002670288 41.8400001525879 20.7800006866455
"2025-05-19" 3.69000005722046 46.8400001525879 11.3400001525879 42.0999984741211 20.5
"2025-05-20" 3.83999991416931 46.6300010681152 11.3599996566772 41.7000007629395 21
"2025-05-21" 3.76999998092651 46.1699981689453 11.1899995803833 40.3600006103516 21.0400009155273
"2025-05-22" 3.84999990463257 46.1399993896484 11.0500001907349 40.560001373291 21.4200000762939
"2025-05-23" 3.8199999332428 46.5299987792969 11.1400003433228 40.5900001525879 21.4200000762939
"2025-05-26" 3.84999990463257 46.6599998474121 11.1899995803833 40.8499984741211 21.3099994659424
"2025-05-27" 3.84999990463257 47.1800003051758 11.289999961853 42.6500015258789 20.5599994659424
"2025-05-28" 3.77999997138977 46.6800003051758 11.1700000762939 43.3199996948242 20.3899993896484
"2025-05-29" 3.71000003814697 47.3400001525879 11.0900001525879 43.439998626709 20.5599994659424
"2025-05-30" 3.75999999046326 46.9700012207031 11.0699996948242 42.9599990844727 20.2999992370605
"2025-06-02" 3.74000000953674 46.5999984741211 11 43.310001373291 20.5
"2025-06-03" 3.94000005722046 46.7900009155273 10.9799995422363 43.1199989318848 20.5
"2025-06-04" 4.1399998664856 46.5 10.9499998092651 43.7000007629395 20.5
"2025-06-05" 3.92000007629395 46.1500015258789 10.8299999237061 44.2000007629395 20.5
"2025-06-06" 3.9300000667572 46.1500015258789 10.8100004196167 43.7999992370605 20.5200004577637
"2025-06-09" 3.86999988555908 45.7000007629395 10.7799997329712 43.6599998474121 21
"2025-06-10" 4.11999988555908 46.3300018310547 10.6999998092651 43.9900016784668 21.5100002288818
"2025-06-11" 4.13000011444092 46.0900001525879 10.8000001907349 44 21.3600006103516
"2025-06-12" 4.13000011444092 46.0900001525879 10.8199996948242 44.4599990844727 20.6900005340576
"2025-06-13" 4.07999992370605 45.689998626709 10.710000038147 44.0200004577637 21
"2025-06-16" 4.19999980926514 46.439998626709 10.8500003814697 44.9900016784668 20.5
"2025-06-17" 4.1399998664856 46.1599998474121 10.8999996185303 44.5999984741211 20.4899997711182
"2025-06-18" 4.15000009536743 45.1100006103516 10.8800001144409 44.8800010681152 20.9200000762939
"2025-06-20" 4.13000011444092 44.0999984741211 10.8100004196167 43.2599983215332 20.7900009155273
"2025-06-23" 4.07999992370605 44.4199981689453 10.6599998474121 42.4099998474121 21.7600002288818
"2025-06-24" 4.13000011444092 44.4599990844727 10.8900003433228 43.5099983215332 20.75
"2025-06-25" 4.05000019073486 43.8600006103516 10.7399997711182 43.1500015258789 20.0100002288818
"2025-06-26" 4.15000009536743 43.9900016784668 10.7399997711182 40.0099983215332 20.1000003814697
