"lwsa3" "elet6" "itsa4" "rent3" "brfs3" "Ibovespa" "Selic" "Data1"
2.67552137374878 42.4893569946289 9.21153354644775 34.6618385314941 20.1399993896484 131147 0.052531 2025-04-01
2.67552137374878 42.4319114685059 9.22129249572754 35.994987487793 19.7999992370605 131190 0.052531 2025-04-02
2.69526672363281 42.8914642333984 9.38717746734619 36.7751274108887 19.6399993896484 131141 0.052531 2025-04-03
2.54717516899109 42.125545501709 9.11395359039307 35.649356842041 19.25 127256 0.052531 2025-04-04
2.58666610717773 41.9532127380371 9.17250156402588 35.362979888916 19.2000007629395 125588 0.052531 2025-04-07
2.65577578544617 41.991512298584 9.15298557281494 35.2543525695801 19.0599994659424 123932 0.052531 2025-04-08
2.80386710166931 42.7287063598633 9.36766242980957 36.5084991455078 20.5599994659424 127796 0.052531 2025-04-09
2.932213306427 43.207405090332 9.31887149810791 36.9331321716309 20.3500003814697 126355 0.052531 2025-04-10
2.90259504318237 42.929759979248 9.4164514541626 38.0885238647461 20.5400009155273 127682 0.052531 2025-04-11
2.95195889472961 43.6190872192383 9.54330444335938 38.7699089050293 20.4099998474121 129454 0.052531 2025-04-14
2.98157715797424 43.3318672180176 9.67015838623047 38.9081649780273 20.6700000762939 129245 0.052531 2025-04-15
2.99144983291626 42.4702110290527 9.65064334869385 38.2662773132324 20.6800003051758 128317 0.052531 2025-04-16
3.45547032356262 43.6573829650879 9.70919036865234 39.7475509643555 21.1499996185303 129650 0.052531 2025-04-17
3.47521567344666 43.4467582702637 9.92386627197266 38.6612854003906 21.7800006866455 130464 0.052531 2025-04-22
3.6627984046936 44.0882148742676 10.0897521972656 39.8561782836914 21.4899997711182 132216 0.052531 2025-04-23
3.74178051948547 45.3711242675781 10.3044271469116 41.0806999206543 22.0100002288818 134580 0.052531 2025-04-24
3.84050846099854 45.1796493530273 10.3141860961914 42.2755966186523 22.8999996185303 134739 0.052531 2025-04-25
3.71216225624084 45.3902778625488 10.3727340698242 42.5224761962891 22.7000007629395 135016 0.052531 2025-04-28
3.62330746650696 45.6200523376465 10.3727340698242 42.6409759521484 22.75 135093 0.052531 2025-04-29
3.56407070159912 46.2831993103027 10.4410390853882 42.4237213134766 22.7000007629395 135067 0.052531 2025-04-30
3.55419778823853 46.0336952209473 10.2751531600952 42.5619735717773 22.4599990844727 135134 0.052531 2025-05-02
3.46534299850464 45.2851791381836 10.2263641357422 42.5224761962891 21.4400005340576 133491 0.052531 2025-05-05
3.45547032356262 45.3427581787109 10.1970901489258 41.4757080078125 20.3500003814697 133516 0.052531 2025-05-06
3.40610647201538 45.0740623474121 10.284912109375 41.564582824707 20.2600002288818 133398 0.052531 2025-05-07
3.5245795249939 45.6594390869141 10.3434600830078 43.3519897460938 20.3899993896484 136232 0.054266 2025-05-08
3.48508858680725 45.9761161804199 10.7825679779053 40.4881896972656 19.2000007629395 136512 0.054266 2025-05-09
3.2975058555603 45.6018600463867 10.5386190414429 40.9819488525391 19.7099990844727 136563 0.054266 2025-05-12
3.55419778823853 45.8801536560059 10.7045059204102 41.2189521789551 20.2000007629395 138963 0.054266 2025-05-13
3.56407070159912 45.7074203491211 10.7337789535522 39.2142906188965 19.6800003051758 138423 0.054266 2025-05-14
3.61343479156494 44.2775611877441 10.8703908920288 40.2413101196289 20.6200008392334 139334 0.054266 2025-05-15
3.64305305480957 44.4790840148926 10.9484548568726 41.3177032470703 20.7800006866455 139187 0.054266 2025-05-16
3.64305305480957 44.9493064880371 11.0655498504639 41.5744552612305 20.5 139636 0.054266 2025-05-19
3.79114437103271 44.7477836608887 11.0850658416748 41.1794509887695 21 140110 0.054266 2025-05-20
3.72203516960144 44.3063507080078 10.9191799163818 39.8561782836914 21.0400009155273 137881 0.054266 2025-05-21
3.80101704597473 44.2775611877441 10.7825679779053 40.0536842346191 21.4200000762939 137273 0.054266 2025-05-22
3.7713987827301 44.6518173217773 10.8703908920288 40.083309173584 21.4200000762939 137824 0.054266 2025-05-23
3.80101704597473 44.7765731811523 10.9191799163818 40.3400611877441 21.3099994659424 138136 0.054266 2025-05-26
3.80101704597473 45.2755851745605 11.0167598724365 42.1175956726074 20.5599994659424 139541 0.054266 2025-05-27
3.73190784454346 44.7957649230957 10.8996648788452 42.7792282104492 20.3899993896484 138888 0.054266 2025-05-28
3.6627984046936 45.4291229248047 10.8216009140015 42.8977279663086 20.5599994659424 138534 0.054266 2025-05-29
3.71216225624084 45.0740623474121 10.8020839691162 42.4237213134766 20.2999992370605 137027 0.054266 2025-05-30
3.69241666793823 44.718994140625 10.7566432952881 42.7693557739258 20.5 136787 0.054266 2025-06-02
3.88987231254578 44.9013252258301 10.7370843887329 42.5817260742188 20.5 137546 0.054266 2025-06-03
4.08732748031616 44.6230316162109 10.7077484130859 43.1544876098633 20.5 137002 0.054266 2025-06-04
3.87012672424316 44.2871589660645 10.5904035568237 43.6482429504395 20.5 136236 0.054266 2025-06-05
3.87999939918518 44.2871589660645 10.5708465576172 43.2532348632812 20.5200004577637 136102 0.054266 2025-06-06
3.82076263427734 43.8553237915039 10.5415096282959 43.1149826049805 21 135699 0.054266 2025-06-09
4.06758213043213 44.4598960876465 10.4632797241211 43.4408683776855 21.5100002288818 136436 0.054266 2025-06-10
4.07745504379272 44.2295799255371 10.5610675811768 43.450740814209 21.3600006103516 137128 0.054266 2025-06-11
4.07745504379272 44.2295799255371 10.5806245803833 43.9049987792969 20.6900005340576 137800 0.054266 2025-06-12
4.0280909538269 43.8457260131836 10.4730587005615 43.4704895019531 21 137213 0.054266 2025-06-13
